quarter_end,component,rank,characteristic,loading,proposed_name
2022-06-30,pc_1,3,close_price,0.48506978631337466,
2022-06-30,pc_1,4,dividend_per_share,0.3796606579896883,
2022-06-30,pc_1,5,shares_outstanding,-0.2611162910725769,
2022-06-30,pc_2,1,analyst_rating,0.4563114565605233,
2022-06-30,pc_2,2,market_cap,0.45436537102744645,
2022-06-30,pc_2,3,price_to_sales,0.4089860352868013,
2022-06-30,pc_2,4,shares_outstanding,0.40811479893917646,
2022-06-30,pc_2,5,pe_ratio,0.3456570456602867,
2022-06-30,pc_3,1,normalized_roe,-0.5482963062593184,
2022-06-30,pc_3,2,price_to_book,-0.5276486710986447,
2022-06-30,pc_3,3,sentiment,0.3840878576292689,
2022-06-30,pc_3,4,volatility_60d,0.3357162880987194,
2022-06-30,pc_3,5,sales_growth,0.23726921024389608,
2022-09-30,pc_1,1,ask_price,0.4861421646462187,
2022-09-30,pc_1,2,bid_price,0.48611955740340956,
2022-09-30,pc_1,3,close_price,0.4860956464734284,
